user_id,screen_name,created_at,followers_count,friends_count,favourites_count
965009689,drpriono,5/11/2020 6:27,4538,2097,7132
39442549,donkomo,4/9/2020 22:35,4245,2436,1322
231363070,idearik,5/13/2020 12:11,2602,296,756
495486082,RepublikKopii,5/13/2020 11:15,2541,825,1873
5734262,alexajoyce,5/13/2020 7:20,2458,3668,348
1.04933E+18,loveyouthemost_,5/13/2020 14:20,2281,2692,1619
483847503,EriWirandana,5/13/2020 10:38,1935,2704,2810
68324824,bimasekti,4/22/2020 2:14,1709,778,2980
13200452,tumpal,NA,1683,1175,1510
75919555,fzkwa,5/13/2020 13:32,1643,1583,15333
7.37777E+17,DevNetwork4U,5/13/2020 13:43,1572,2710,878
7.37672E+17,Iam_aProgrammer,5/13/2020 7:47,1524,2895,684
80257504,selepasjamkerja,5/13/2020 2:36,1457,855,3973
67249595,megylogen,5/13/2020 9:44,1455,875,1661
2348301866,ameliazein,5/13/2020 13:45,1389,3455,3068
373174448,raizakurniawan,5/12/2020 13:08,1219,1733,1492
284837009,shoofa_,5/13/2020 5:18,1202,816,6037
1.02535E+18,Feflora_,5/13/2020 0:55,1183,1849,728
3079411932,jasonrob_,4/27/2020 5:01,1179,1779,889
73334932,lazuandi,5/13/2020 13:03,1027,993,4919
783843973,midazhq,5/13/2020 12:59,1018,956,6382
1451573756,ZanaPekmez,5/13/2020 7:23,997,4271,1320
27124320,hazalgebra,4/11/2020 1:52,930,594,338
788672905,eryaswa,4/11/2020 7:25,862,718,152
63006785,findriaaa,5/13/2020 9:38,836,2316,40
48265005,dieverbannt,NA,808,2099,10311
41567900,rerelavin,NA,784,575,100
187809884,setiajiembara,5/12/2020 1:00,758,931,2855
383186110,ruzlananwar,5/11/2020 10:19,748,847,1339
67256955,travelsizehuman,5/13/2020 8:56,712,548,1328
8.97851E+17,Urban_Patchwork,5/13/2020 11:44,710,3735,985
235419784,mutiaafp,NA,701,465,281
8.29624E+17,GroundEngSol,5/12/2020 4:40,699,2811,810
70602408,Enlik,5/8/2020 6:47,698,970,1067
350595567,ditapedia,5/13/2020 2:35,677,1899,24188
574681216,haririshafa,NA,672,963,6781
252082820,wahyuafendii,5/13/2020 12:57,661,659,1142
187169233,junii_junii,NA,653,894,1110
268820881,srputr,NA,634,668,158
40437543,dody3D,5/5/2020 7:59,628,674,1168
89874049,karuniarsy,NA,627,308,848
288481602,yuvalianda_,5/13/2020 12:33,618,523,536
325428135,sxnyxwx,NA,615,433,984
456032754,NewWave_Tech,5/13/2020 12:52,615,691,1135
15084090,julazhar,5/12/2020 13:16,587,2349,357
75483070,al_viian,5/10/2020 15:48,580,758,795
113907160,adewantor,5/11/2020 17:40,563,638,284
290000164,apriliaawidyas,5/12/2020 12:28,562,310,60
467236174,sigitstyn,5/10/2020 18:57,558,296,150
83119844,muthiamut,NA,554,572,2064
176398704,hadstricken,5/3/2020 9:24,554,1292,4130
26946369,HendraRespati,3/24/2020 8:12,549,102,343
1264745202,abam_afriansyah,5/11/2020 20:15,546,940,365
294991939,rebekahzipporah,5/8/2020 19:49,544,3209,841
375475311,Itsmeriri1099,NA,542,184,478
145039939,_fireshare,5/13/2020 11:41,541,318,2362
50631655,dmtr13,5/13/2020 6:37,539,642,779
1875800702,sansaelah_,4/19/2020 22:57,525,296,210
1111454587,MegiOliver,5/12/2020 11:44,517,818,1174
92506829,ValdiNoorAzhar,5/13/2020 8:25,503,852,6587
163095879,yahakim19,5/13/2020 13:39,494,829,1597
1697479009,a_celup,5/13/2020 9:16,463,483,555
73708426,mahendrawb,5/13/2020 11:13,444,721,2034
1.0446E+18,SheShrugged,5/13/2020 14:07,436,5001,2068
310011285,mariokeryapy,5/10/2020 11:30,431,608,506
549224967,Harieesss,5/13/2020 1:19,430,1423,13788
23556841,intangogogo,5/11/2020 20:17,412,457,710
269623629,azharyhusni,NA,412,671,53
101914451,nizlllllll,5/13/2020 13:01,410,659,3032
171893613,Tegar09,5/13/2020 7:18,386,342,374
71742151,faridarianto,5/12/2020 13:30,380,1115,257
270766297,pinkienala,NA,373,297,776
314446275,AlanMauulana,5/13/2020 11:24,370,187,72
15941626,irvan_saragih,NA,362,2297,4039
405337564,reigunr,5/12/2020 11:51,356,605,3436
265849418,Handika_Salman,5/12/2020 1:15,353,1255,691
221261758,Jyaindra,5/6/2020 21:35,345,198,127
226830979,winsuset,5/12/2020 12:36,340,545,1504
59960867,teertaa,5/12/2020 21:21,334,1271,2990
