"from","to"
"Sam","Tiara"
"Sam","Husein"
"Sam","David"
"Sam","Ajeng"
"Sam","Eca"
"Sam","Handoyo"
"Sam","Tomy"
"Tiara","Sam"
"Tiara","Husein"
"Tiara","David"
"Tiara","Ajeng"
"Tiara","Eca"
"Tiara","Shello"
"Tiara","Handoyo"
"Tiara","Iqbal"
"Tiara","Nabil"
"Tiara","Naya"
"Tiara","Tata"
"Tiara","Wulan"
"Tiara","Sitta"
"Tiara","Ina"
"Husein","Sam"
"Husein","Tiara"
"Husein","David"
"Husein","Ajeng"
"Husein","Eca"
"Husein","Shello"
"Husein","Fafil"
"Husein","Arga"
"Husein","Nabil"
"Husein","Naya"
"Husein","Sitta"
"David","Sam"
"David","Tiara"
"David","Husein"
"David","Ajeng"
"David","Eca"
"David","Arga"
"David","Nabil"
"David","Naya"
"David","Tata"
"David","Wulan"
"David","Ina"
"Ajeng","Sam"
"Ajeng","Tiara"
"Ajeng","Husein"
"Ajeng","David"
"Ajeng","Eca"
"Ajeng","Shello"
"Ajeng","Fafil"
"Ajeng","Nabil"
"Ajeng","Tata"
"Ajeng","Wulan"
"Ajeng","Tomy"
"Ajeng","Lita"
"Ajeng","Joe"
"Eca","Sam"
"Eca","Tiara"
"Eca","Husein"
"Eca","David"
"Eca","Ajeng"
"Eca","Shello"
"Eca","Fafil"
"Eca","Handoyo"
"Eca","Iqbal"
"Eca","Naya"
"Eca","Tata"
"Eca","Wulan"
"Eca","Ina"
"Eca","Tomy"
"Eca","Lita"
"Eca","Joe"
"Shello","Tiara"
"Shello","Husein"
"Shello","Ajeng"
"Shello","Eca"
"Shello","Handoyo"
"Shello","Iqbal"
"Shello","Nabil"
"Shello","Wulan"
"Shello","Sitta"
"Shello","Ina"
"Fafil","Tiara"
"Fafil","Husein"
"Fafil","Eca"
"Fafil","Handoyo"
"Fafil","Iqbal"
"Fafil","Tata"
"Fafil","Lita"
"Handoyo","Sam"
"Handoyo","Tiara"
"Handoyo","David"
"Handoyo","Eca"
"Handoyo","Shello"
"Handoyo","Fafil"
"Handoyo","Iqbal"
"Handoyo","Naya"
"Handoyo","Wulan"
"Handoyo","Ina"
"Iqbal","Tiara"
"Iqbal","Eca"
"Iqbal","Shello"
"Iqbal","Fafil"
"Iqbal","Handoyo"
"Iqbal","Naya"
"Iqbal","Ina"
"Iqbal","Tomy"
"Arga","Tiara"
"Arga","Husein"
"Arga","David"
"Arga","Naya"
"Arga","Tata"
"Arga","Wulan"
"Arga","Sitta"
"Arga","Ina"
"Arga","Tomy"
"Arga","Joe"
"Nabil","Tiara"
"Nabil","Husein"
"Nabil","Ajeng"
"Nabil","Eca"
"Nabil","Shello"
"Nabil","Fafil"
"Nabil","Arga"
"Nabil","Naya"
"Nabil","Tata"
"Nabil","Wulan"
"Nabil","Sitta"
"Nabil","Ina"
"Naya","Sam"
"Naya","Tiara"
"Naya","Husein"
"Naya","David"
"Naya","Ajeng"
"Naya","Eca"
"Naya","Shello"
"Naya","Tata"
"Naya","Sitta"
"Naya","Tomy"
"Naya","Joe"
"Tata","Sam"
"Tata","Tiara"
"Tata","Husein"
"Tata","David"
"Tata","Ajeng"
"Tata","Eca"
"Tata","Shello"
"Tata","Iqbal"
"Tata","Arga"
"Tata","Nabil"
"Tata","Naya"
"Tata","Ina"
"Wulan","Tiara"
"Wulan","Husein"
"Wulan","Ajeng"
"Wulan","Eca"
"Wulan","Shello"
"Wulan","Handoyo"
"Wulan","Arga"
"Wulan","Nabil"
"Wulan","Tata"
"Wulan","Sitta"
"Wulan","Ina"
"Wulan","Tomy"
"Wulan","Lita"
"Wulan","Joe"
"Sitta","Tiara"
"Sitta","David"
"Sitta","Ajeng"
"Sitta","Eca"
"Sitta","Arga"
"Sitta","Nabil"
"Sitta","Tata"
"Sitta","Wulan"
"Sitta","Ina"
"Ina","Tiara"
"Ina","Husein"
"Ina","Eca"
"Ina","Fafil"
"Ina","Iqbal"
"Ina","Nabil"
"Ina","Tata"
"Ina","Sitta"
"Ina","Lita"
"Ina","Joe"
"Tomy","Sam"
"Tomy","Ajeng"
"Tomy","Eca"
"Tomy","Fafil"
"Tomy","Handoyo"
"Tomy","Iqbal"
"Tomy","Tata"
"Tomy","Wulan"
"Tomy","Lita"
"Tomy","Joe"
"Lita","Ajeng"
"Lita","Eca"
"Lita","Shello"
"Lita","Fafil"
"Lita","Iqbal"
"Lita","Nabil"
"Lita","Naya"
"Lita","Tata"
"Lita","Wulan"
"Lita","Tomy"
"Lita","Joe"
"Joe","Husein"
"Joe","Ajeng"
"Joe","Eca"
"Joe","Iqbal"
"Joe","Arga"
"Joe","Naya"
"Joe","Wulan"
"Joe","Ina"
"Joe","Tomy"
"Joe","Lita"
